rank,filter_name,count,filtered_out,expectancy,target_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_decision_score,avg_rr,min_decision_score,min_target_distance_r,require_smt,require_session_window,allowed_displacement_grades,allowed_htf_locations,exclude_no_trade_reasons
14,"min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",54,844,1.138867,0.166667,0.333333,0.703704,99.648148,7.2389,0,2,false,false,"valid,strong","discount,premium",
15,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong",54,844,1.138867,0.166667,0.333333,0.703704,99.648148,7.2389,50,2,false,false,"valid,strong",,
16,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",54,844,1.138867,0.166667,0.333333,0.703704,99.648148,7.2389,50,2,false,false,"valid,strong","discount,premium",
17,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong",54,844,1.138867,0.166667,0.333333,0.703704,99.648148,7.2389,70,2,false,false,"valid,strong",,
18,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium",54,844,1.138867,0.166667,0.333333,0.703704,99.648148,7.2389,70,2,false,false,"valid,strong","discount,premium",
19,min_target_distance_r=2;allowed_displacement_grades=strong,23,875,1.01026,0.086957,0.347826,0.73913,100.0,6.846071,0,2,false,false,strong,,
20,"min_target_distance_r=2;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",23,875,1.01026,0.086957,0.347826,0.73913,100.0,6.846071,0,2,false,false,strong,"discount,premium",
21,min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=strong,23,875,1.01026,0.086957,0.347826,0.73913,100.0,6.846071,50,2,false,false,strong,,
22,"min_decision_score=50;min_target_distance_r=2;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",23,875,1.01026,0.086957,0.347826,0.73913,100.0,6.846071,50,2,false,false,strong,"discount,premium",
23,min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=strong,23,875,1.01026,0.086957,0.347826,0.73913,100.0,6.846071,70,2,false,false,strong,,
24,"min_decision_score=70;min_target_distance_r=2;allowed_displacement_grades=strong;allowed_htf_locations=discount,premium",23,875,1.01026,0.086957,0.347826,0.73913,100.0,6.846071,70,2,false,false,strong,"discount,premium",
25,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,876,0.875761,0.181818,0.363636,0.681818,100.0,7.731955,0,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
26,"min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,876,0.875761,0.181818,0.363636,0.681818,100.0,7.731955,0,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
27,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,876,0.875761,0.181818,0.363636,0.681818,100.0,7.731955,50,3,false,false,"valid,strong",,"equilibrium,poor_pd_location,target_rr_below_2"
28,"min_decision_score=50;min_target_distance_r=3;allowed_displacement_grades=valid,strong;allowed_htf_locations=discount,premium;exclude_no_trade_reasons=equilibrium,poor_pd_location,target_rr_below_2",22,876,0.875761,0.181818,0.363636,0.681818,100.0,7.731955,50,3,false,false,"valid,strong","discount,premium","equilibrium,poor_pd_location,target_rr_below_2"
